cmteid,PAC Name,cycle,Total,Gun_Control,Gun_Rights,,
C00688655,Everytown for Gun Safety Victory Fund,2020,"$21,202,222.00","$21,202,222.00",$0.00,,
C00741710,NRA Victory Fund,2020,"$19,452,528.00",$0.00,"$19,452,528.00",,
C00053553,National Rifle Assn,2020,"$9,007,421.00",$0.00,"$9,007,421.00",,
C00540443,Giffords PAC,2020,"$2,047,339.00","$2,047,339.00",$0.00,,
C00764522,Gun Owners Action Fund,2020,"$1,951,301.00",$0.00,"$1,951,301.00",,
C90011693,Gun Owners of America,2020,"$1,080,788.00",$0.00,"$1,080,788.00",,
C70000716,NRA Institute for Legislative Action,2020,"$895,451.00",$0.00,"$895,451.00",,
C00541433,Hunter Action Fund,2020,"$392,163.00",$0.00,"$392,163.00",,
C00674093,Brady PAC,2020,"$226,120.00","$226,120.00",$0.00,,
C00122101,Safari Club International,2020,"$190,000.00",$0.00,"$190,000.00",,
C00742635,Gun Rights America,2020,"$126,246.00",$0.00,"$126,246.00",,
C00481200,National Assn for Gun Rights,2020,"$31,984.00",$0.00,"$31,984.00",,
C90019837,Brady Campaign to Prevent Gun Violence,2020,"$24,082.00","$24,082.00",$0.00,,
C00322958,Montana Shooting Sports Assn,2020,"$16,126.00",$0.00,"$16,126.00",,
C00640086,Everytown for Gun Safety Action Fund,2020,"$13,947.00","$13,947.00",$0.00,,
C00354605,Grass Roots NC/Forum for Firearms Educ,2020,"$11,783.00",$0.00,"$11,783.00",,
C00760454,FPC American Victory Fund,2020,"$10,656.00",$0.00,"$10,656.00",,
C90018490,United to Change Our Gun Laws,2020,"$5,915.00","$5,915.00",$0.00,,
C00679118,Families vs Assault Rifles PAC,2020,$0.00,$0.00,$0.00,,
C00278101,Gun Owners of America,2020,$0.00,$0.00,$0.00,,
C00627794,North Carolina Gun Rights PAC,2020,$0.00,$0.00,$0.00,,
C00737304,People Against School Shootings,2020,$0.00,$0.00,$0.00,,
C00620427,Pride Fund to End Gun Violence,2020,$0.00,$0.00,$0.00,,
C00763979,Veterans for Gun Reform,2020,$0.00,$0.00,$0.00,,
C00053553,National Rifle Assn,2018,"$8,204,264.00",$0.00,"$8,204,264.00",,
C00540443,Giffords PAC,2018,"$6,149,280.00","$6,149,280.00",$0.00,,
C00688655,Everytown for Gun Safety Victory Fund,2018,"$3,802,104.00","$3,802,104.00",$0.00,,
C90015025,Everytown for Gun Safety Action Fund,2018,"$1,495,925.00","$1,495,925.00",$0.00,,
C90013301,NRA Institute for Legislative Action,2018,"$785,546.00",$0.00,"$785,546.00",,
C70000716,NRA Institute for Legislative Action,2018,"$561,510.00",$0.00,"$561,510.00",,
C90018037,Giffords,2018,"$502,160.00","$502,160.00",$0.00,,
C00481200,National Assn for Gun Rights,2018,"$198,286.00",$0.00,"$198,286.00",,
C00122101,Safari Club International,2018,"$162,996.00",$0.00,"$162,996.00",,
C00674093,Brady PAC,2018,"$140,000.00","$140,000.00",$0.00,,
C90011693,Gun Owners of America,2018,"$107,630.00",$0.00,"$107,630.00",,
C00541433,Hunter Action Fund,2018,"$76,995.00",$0.00,"$76,995.00",,
C90018490,United to Change Our Gun Laws,2018,"$30,624.00","$30,624.00",$0.00,,
C00620427,Pride Fund to End Gun Violence,2018,"$6,724.00","$6,724.00",$0.00,,
C00685537,Illinois Citizens Ignited,2018,"$3,423.00","$3,423.00",$0.00,,
C00354605,Grass Roots NC/Forum for Firearms Educ,2018,"$2,364.00",$0.00,"$2,364.00",,
C00680017,Americans for Firearms Rights,2018,$0.00,$0.00,$0.00,,
C00679118,Families vs Assault Rifles PAC,2018,$0.00,$0.00,$0.00,,
C00278101,Gun Owners of America,2018,$0.00,$0.00,$0.00,,
C00322958,Montana Shooting Sports Assn,2018,$0.00,$0.00,$0.00,,
C00675736,Musicians Against Gun Violence,2018,$0.00,$0.00,$0.00,,
C00627794,North Carolina Gun Rights PAC,2018,$0.00,$0.00,$0.00,,
C90013301,NRA Institute for Legislative Action,2016,"$33,341,336.00",$0.00,"$33,341,336.00",,
C00053553,National Rifle Assn,2016,"$19,240,973.00",$0.00,"$19,240,973.00",,
C00540443,Americans for Responsible Solutions,2016,"$2,759,842.00","$2,759,842.00",$0.00,,
C70000716,NRA Institute for Legislative Action,2016,"$1,816,249.00",$0.00,"$1,816,249.00",,
C00122101,Safari Club International,2016,"$189,995.00",$0.00,"$189,995.00",,
C90015025,Everytown for Gun Safety Action Fund,2016,"$181,649.00","$181,649.00",$0.00,,
C00541433,Hunter Action Fund,2016,"$109,999.00",$0.00,"$109,999.00",,
C00481200,National Assn for Gun Rights,2016,"$103,799.00",$0.00,"$103,799.00",,
C90011693,Gun Owners of America,2016,"$65,931.00",$0.00,"$65,931.00",,
C90017062,Safety for All Yes on Prop 63,2016,"$45,000.00","$45,000.00",$0.00,,
C90017104,Ceasefire Pennsylvania,2016,"$12,000.00","$12,000.00",$0.00,,
C00354605,Grass Roots NC/Forum for Firearms Educ,2016,"$5,876.00",$0.00,"$5,876.00",,
C00278101,Gun Owners of America,2016,$394.00,$0.00,$394.00,,
C00622142,People Vs Nra,2016,$110.00,$110.00,$0.00,,
C00558544,Enough is Enough PAC,2016,$0.00,$0.00,$0.00,,
C00463026,Illinois State Rifle Assn,2016,$0.00,$0.00,$0.00,,
C00322958,Montana Shooting Sports Assn,2016,$0.00,$0.00,$0.00,,
C00053553,National Rifle Assn,2014,"$14,349,465.00",$0.00,"$14,349,465.00",,
C90013301,NRA Institute for Legislative Action,2014,"$11,511,016.00",$0.00,"$11,511,016.00",,
C00540443,Americans for Responsible Solutions,2014,"$8,220,162.00","$8,220,162.00",$0.00,,
C70000716,NRA Institute for Legislative Action,2014,"$1,164,137.00",$0.00,"$1,164,137.00",,
C90015025,Everytown for Gun Safety Action Fund,2014,"$386,922.00","$386,922.00",$0.00,,
C00122101,Safari Club International,2014,"$264,988.00",$0.00,"$264,988.00",,
C90011693,Gun Owners of America,2014,"$161,636.00",$0.00,"$161,636.00",,
C00541433,Hunter Action Fund,2014,"$154,559.00",$0.00,"$154,559.00",,
C00481200,National Assn for Gun Rights,2014,"$133,969.00",$0.00,"$133,969.00",,
C90012519,Brady Campaign To Prevent Gun Violence,2014,"$46,746.00","$46,746.00",$0.00,,
C00354605,Grass Roots NC/Forum for Firearms Educ,2014,"$14,651.00",$0.00,"$14,651.00",,
C00566935,Sportsmen for Colorado,2014,"$3,008.00",$0.00,"$3,008.00",,
C00463026,Illinois State Rifle Assn,2014,$280.00,$0.00,$280.00,,
C00278101,Gun Owners of America,2014,$13.00,$0.00,$13.00,,
C00558544,Enough is Enough PAC,2014,$0.00,$0.00,$0.00,,
C00322958,Montana Shooting Sports Assn,2014,$0.00,$0.00,$0.00,,
C00053553,National Rifle Assn,2012,"$11,159,167.00",$0.00,"$11,159,167.00",,
C90013301,NRA Institute for Legislative Action,2012,"$7,448,189.00",$0.00,"$7,448,189.00",,
C70000716,NRA Institute for Legislative Action,2012,"$1,159,687.00",$0.00,"$1,159,687.00",,
C00122101,Safari Club International,2012,"$454,826.00",$0.00,"$454,826.00",,
C30002034,United Against Illegal Guns Support Fund,2012,"$178,660.00","$178,660.00",$0.00,,
C30000897,Mayors Against Illegal Guns,2012,"$175,591.00","$175,591.00",$0.00,,
C90011693,Gun Owners of America,2012,"$70,731.00",$0.00,"$70,731.00",,
C30002158,National Shooting Sports Foundation,2012,"$25,620.00",$0.00,"$25,620.00",,
C90011834,Bull Moose Sportsmen's Alliance,2012,"$17,000.00",$0.00,"$17,000.00",,
C00278101,Gun Owners of America,2012,"$6,976.00",$0.00,"$6,976.00",,
C00322958,Montana Shooting Sports Assn,2012,"$6,820.00",$0.00,"$6,820.00",,
C00354605,Grass Roots NC/Forum for Firearms Educ,2012,"$3,970.00",$0.00,"$3,970.00",,
C00526228,Women Warriors PAC,2012,"$1,082.00",$0.00,"$1,082.00",,
C00053553,National Rifle Assn,2010,"$7,162,431.00",$0.00,"$7,162,431.00",,
C70000716,NRA Institute for Legislative Action,2010,"$1,089,328.00",$0.00,"$1,089,328.00",,
C00122101,Safari Club International,2010,"$360,193.00",$0.00,"$360,193.00",,
C30001853,Americans United for Safe Streets,2010,"$251,144.00","$251,144.00",$0.00,,
C90011834,Bull Moose Sportsmen's Alliance,2010,"$117,540.00",$0.00,"$117,540.00",,
